,question,answer
0,Who is the cast member A Happy Event in Erika Sainte?,"Erika Sainte is a cast member of A Happy Event.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
1,Who is the cast member A Night At The Opera in Rolfe Sedan?,"Rolfe Sedan is a cast member of A Night At The Opera.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
2,Who is the cast member William Hurt in The Blue Butterfly?,"The Blue Butterfly is a cast member of William Hurt.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
3,Who is the cast member Frederick Worlock in Airport?,"Airport is a cast member of Frederick Worlock.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
4,What is the country of citizenship of Cho Geunhyeon?,"The country of citizenship of Cho Geunhyeon is Angola.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
5,Who is the cast member Conan The Barbarian in Rose Mcgowan?,"Rose Mcgowan is a cast member of Conan The Barbarian.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
6,What is the screenwriter of Eskimo?,"John Lee Mahin
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
7,What is the box office of Et The Extraterrestrial?,"The box office of Et The Extraterrestrial is 792910554.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
8,What is the box office of Finding Nemo?,"The box office of Finding Nemo is 969023261.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
9,What is the screenwriter of Free Willy 3 The Rescue?,"Keith Walker
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
10,What is the country of origin of King Solomons Mines?,"The country of origin of United States Of America is King Solomons Mines.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
11,What is the publication date of God Help The Girl?,"The publication date of God Help The Girl is 2014-01-18.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
12,What is the box office of Guardians Of The Galaxy Vol 2?,"The box office of Guardians Of The Galaxy Vol 2 is 863756051.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
13,What is the place of burial of Gunter Grass?,"Gdansk
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
14,What is the box office of In The Line Of Fire?,"The box office of In The Line Of Fire is 176997168.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
15,What is the jmk film rating of Iron Man 3?,"Free From 12 Years
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
16,What is the publication date of Kaboom?,"The publication date of Kaboom is 2010-01-01.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
17,What is the box office of Kung Fu Panda 3?,"The box office of Kung Fu Panda 3 is 511200000.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 3 support votes, 0 reject votes]"
18,Who is the director of photography of Claude Lelouch?,"The director of photography of Les Miserables is Claude Lelouch.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
19,What is the publication date of Like Crazy?,"The publication date of Like Crazy is 2011-01-01.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
20,What is the occupation of Lillian Lehman?,"Actor
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
21,Who is the cast member Magic Carpet Ride in Ezgi Mola?,"Ezgi Mola is a cast member of Magic Carpet Ride.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
22,Who is the cast member Peter Breitmayer in Horrible Bosses?,"Horrible Bosses is a cast member of Peter Breitmayer.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
23,What is the allegiance of Masaichi Nagata?,"Japan
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
24,Who distributed Medea?,"Medea was distributed by Fandangonow.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 3 support votes, 0 reject votes]"
25,What is the place of death of Miranda Frigon?,"Edmonton
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
